Rank,Neighborhood,Jobs Accessible,Median Income,Borough,Population,ZIP
1,Chelsea (North),"4,593,006","$81,671",Manhattan,"21,966",10001
2,Hell's Kitchen (South),"4,542,251","$104,635",Manhattan,"7,021",10018
3,Hell's Kitchen (Central),"4,389,002","$66,599",Manhattan,"23,132",10036
4,Chelsea (South),"4,297,411","$104,238",Manhattan,"52,167",10011
5,Midtown (North-East),"4,189,691","$109,019",Manhattan,"29,618",10022
6,Midtown East (South),"4,180,797","$100,652",Manhattan,"16,129",10017
7,Tribeca (South),"4,155,674","$216,037",Manhattan,"6,525",10007
8,Tribeca (North),"4,122,632","$83,725",Manhattan,"26,065",10013
9,Briarwood/ Jamaica Center,"4,119,763","$53,041",Queens,"53,542",11435
10,Hell's Kitchen (North),"4,113,415","$84,424",Manhattan,"38,394",10019
11,East Village/ Midtown (South),"4,047,421","$92,540",Manhattan,"57,310",10003
12,Woodside,"4,026,663","$49,886",Queens,"86,316",11377
13,SoHo,"4,018,809","$86,594",Manhattan,"26,145",10012
14,Midtown (South-East),"4,010,138","$97,955",Manhattan,"30,670",10010
15,Upper East Side (South),"3,987,897","$115,519",Manhattan,"32,797",10065
16,Upper West Side (North-East),"3,981,379","$103,534",Manhattan,"61,315",10023
17,Central Harlem/ Morningside Heights,"3,979,548","$37,872",Manhattan,"62,617",10027
18,Kips Bay/ Murray Hill,"3,970,556","$105,324",Manhattan,"51,196",10016
19,West Village,"3,930,940","$108,483",Manhattan,"30,597",10014
20,Financial District (West),"3,908,266","$119,274",Manhattan,"2,507",10006
21,Financial District (South),"3,857,633","$129,313",Manhattan,"2,807",10004
22,Financial District (East),"3,855,442","$124,670",Manhattan,"6,822",10005
23,Long Island City (Central),"3,854,725","$47,142",Queens,"25,537",11101
24,Boerum Hill (East)/ Park Slope (North),"3,832,900","$81,862",Brooklyn,"38,787",11217
25,Sunnyside,"3,811,568","$56,059",Queens,"25,729",11104
26,Battery Park City (North),"3,776,445","$230,952",Manhattan,"6,217",10282
27,Battery Park City (South),"3,757,781","$129,574",Manhattan,"8,685",10280
28,Brooklyn Heights/Dumbo,"3,732,698","$95,369",Brooklyn,"54,668",11201
29,Financial District (North-East),"3,727,941","$66,074",Manhattan,"20,082",10038
30,Upper East Side (Central),"3,719,307","$102,941",Manhattan,"24,849",10075
31,Williamsburg,"3,710,175","$46,848",Brooklyn,"93,271",11211
32,Roosevelt Island,"3,704,793","$83,066",Manhattan,"12,346",10044
33,Lower East Side,"3,697,552","$33,218",Manhattan,"82,191",10002
34,Long Island City (West),"3,685,382","$125,871",Queens,"3,524",11109
35,Bedford-Stuyvesant (South-West),"3,681,855","$43,996",Brooklyn,"53,783",11216
36,Upper West Side (Central),"3,669,949","$109,956",Manhattan,"59,164",10024
37,Upper East Side (South-Central),"3,659,211","$107,907",Manhattan,"40,862",10021
38,East Harlem (North),"3,586,504","$24,533",Manhattan,"33,488",10035
39,Forest Hills,"3,583,962","$72,000",Queens,"69,757",11375
40,Harlem (South),"3,575,543","$43,107",Manhattan,"37,871",10026
41,Kew Gardens,"3,553,922","$63,549",Queens,"19,145",11415
42,Upper East Side (North-Central),"3,548,839","$104,638",Manhattan,"44,295",10028
43,Upper West Side (North),"3,533,938","$68,516",Manhattan,"97,390",10025
44,Alphabet City,"3,525,702","$59,929",Manhattan,"62,810",10009
45,Lincoln Square (West),"3,472,382","$170,630",Manhattan,"5,118",10069
46,Upper East Side (North),"3,447,727","$96,296",Manhattan,"60,121",10128
47,Bushwick (North),"3,447,107","$40,372",Brooklyn,"55,478",11237
48,Harlem (East),"3,445,270","$37,341",Manhattan,"17,377",10037
49,Bed-Stuy (North)/ East Williamsburg,"3,442,749","$28,559",Brooklyn,"81,525",11206
