nta_id,total_pop,mean_income,below_poverty_line_count,below_poverty_line_and_50_count,mean_rent,unemployment_count,latinx_count,white_count,black_count,native_count,asian_count,naturalized_citizen_count,noncitizen_count,uninsured_count,school_count,eviction_count,store_count,sub_count,bus_count,mean_ridership,perc_covered_by_transit,geometry
BK0101,26308,98338.66666666667,2397,1289,2062.6666666666665,582,3284,20526,482,40,1052,3777,3129,1797,6,68,71,2,53,9410.5,0.283639504913105,"list(c(-73.940738, -73.941687, -73.942636, -73.943569, -73.94543, -73.945879, -73.945741, -73.946046, -73.946245, -73.949911, -73.950731, -73.95159, -73.951869, -73.952104, -73.95234, -73.952975, -73.95519, -73.955074, -73.954843, -73.954609, -73.957943, -73.961843, -73.96145, -73.961214, -73.961215, -73.961436, -73.961611, -73.95892, -73.957717, -73.956273, -73.954776, -73.951646, -73.950646, -73.949078, -73.948875, -73.948416, -73.946791, -73.944405, -73.941956, -73.941094, -73.940221, -73.939311, 
-73.938912, -73.936764, -73.934123, -73.938189, -73.940115, -73.941043, -73.940738, 40.725973, 40.725882, 40.725793, 40.725708, 40.725518, 40.727354, 40.727382, 40.729257, 40.730487, 40.729244, 40.728972, 40.73045, 40.731144, 40.732563, 40.73398, 40.736079, 40.735867, 40.73516, 40.73374, 40.732324, 40.732009, 40.731625, 40.730994, 40.729508, 40.728151, 40.727298, 40.724951, 40.724351, 40.724298, 40.72339, 40.72246, 40.723486, 40.721705, 40.72254, 40.721292, 40.718455, 40.718821, 40.72024, 40.721652, 
40.722309, 40.722892, 40.723348, 40.723579, 40.724839, 40.726855, 40.7281, 40.727929, 40.727841, 40.725973))"
BK0102,57774,101238.92307692308,9120,4474,2330.076923076923,1710,18227,32237,1460,0,4008,6802,7746,3725,12,204,129,2,97,26603,0.55264919371668,"list(c(-73.96355, -73.965572, -73.966511, -73.967578, -73.967716, -73.96837, -73.968469, -73.968861, -73.96905, -73.969612, -73.969941, -73.969613, -73.968389, -73.967289, -73.964849, -73.964421, -73.962743, -73.961144, -73.959395, -73.958456, -73.958152, -73.957904, -73.957362, -73.95627, -73.954017, -73.953378, -73.95191, -73.951086, -73.950237, -73.950406, -73.95053, -73.95066, -73.95083, -73.950875, -73.948655, -73.948892, -73.949131, -73.949372, -73.951624, -73.95291, -73.953485, -73.952754, 
-73.951842, -73.948322, -73.948416, -73.948875, -73.949078, -73.950646, -73.951646, -73.954776, -73.956273, -73.957717, -73.95892, -73.961611, -73.961543, -73.962645, -73.962787, -73.96355, 40.721571, 40.71895, 40.717917, 40.716496, 40.71604, 40.714127, 40.712999, 40.71265, 40.712482, 40.71016, 40.70931, 40.707634, 40.706829, 40.707002, 40.707454, 40.707534, 40.707685, 40.707524, 40.707352, 40.707252, 40.708041, 40.708427, 40.708235, 40.70785, 40.70708, 40.706857, 40.70636, 40.705913, 40.705473, 
40.706653, 40.707391, 40.70817, 40.709143, 40.709513, 40.709725, 40.711168, 40.712612, 40.714067, 40.714066, 40.714061, 40.714069, 40.714736, 40.715442, 40.717865, 40.718455, 40.721292, 40.72254, 40.721705, 40.723486, 40.72246, 40.72339, 40.724298, 40.724351, 40.724951, 40.723876, 40.722747, 40.722562, 40.721571))"
BK0103,36891,30309.25,18285,5970,1194.875,457,3351,31799,1288,20,194,3548,1012,711,6,45,58,3,35,6348.666666666667,0.8771021677338,"list(c(-73.967616, -73.96721, -73.965204, -73.962179, -73.962839, -73.961051, -73.958858, -73.95702, -73.957167, -73.957226, -73.957457, -73.955724, -73.953812, -73.953181, -73.952551, -73.951921, -73.951288, -73.950091, -73.947128, -73.944388, -73.941931, -73.942201, -73.944005, -73.94545, -73.945855, -73.947052, -73.947853, -73.949254, -73.949836, -73.950237, -73.951086, -73.95191, -73.953378, -73.954017, -73.95627, -73.957362, -73.957904, -73.958152, -73.958456, -73.959395, -73.961144, -73.962743, 
-73.964421, -73.964849, -73.967289, -73.968389, -73.967616, 40.704961, 40.704256, 40.702623, 40.700221, 40.698039, 40.698326, 40.698677, 40.698974, 40.699708, 40.7, 40.700822, 40.701946, 40.703181, 40.702617, 40.702051, 40.701487, 40.700922, 40.699791, 40.700123, 40.700425, 40.700725, 40.700891, 40.701962, 40.70276, 40.702987, 40.703664, 40.704111, 40.704896, 40.705229, 40.705473, 40.705913, 40.70636, 40.706857, 40.70708, 40.70785, 40.708235, 40.708427, 40.708041, 40.707252, 40.707352, 40.707524, 
40.707685, 40.707534, 40.707454, 40.707002, 40.706829, 40.704961))"
BK0104,41861,78746.25,8406,3876,1801.6666666666667,1678,13602,17682,3960,210,5515,5770,5325,3040,15,157,117,6,77,8006,0.630085433736756,"list(c(-73.95083, -73.95066, -73.95053, -73.950406, -73.950237, -73.949836, -73.949254, -73.947853, -73.947052, -73.945855, -73.94545, -73.944005, -73.942201, -73.941931, -73.94042, -73.93763, -73.936982, -73.933951, -73.933523, -73.932698, -73.931155, -73.928738, -73.926089, -73.924169, -73.921892, -73.932072, -73.932297, -73.934802, -73.934959, -73.935613, -73.938696, -73.940022, -73.94012, -73.940231, -73.940439, -73.940492, -73.941094, -73.941956, -73.944405, -73.946791, -73.948416, -73.948322, 
-73.951842, -73.952754, -73.953485, -73.95291, -73.951624, -73.949372, -73.949131, -73.948892, -73.948655, -73.950875, -73.95083, 40.709143, 40.70817, 40.707391, 40.706653, 40.705473, 40.705229, 40.704896, 40.704111, 40.703664, 40.702987, 40.70276, 40.701962, 40.700891, 40.700725, 40.701077, 40.701739, 40.70191, 40.702674, 40.702849, 40.703171, 40.703773, 40.704717, 40.70568, 40.707394, 40.709396, 40.707786, 40.707749, 40.713373, 40.713722, 40.715191, 40.715323, 40.715813, 40.716359, 40.717091, 40.718433, 
40.718679, 40.722309, 40.721652, 40.72024, 40.718821, 40.718455, 40.717865, 40.715442, 40.714736, 40.714069, 40.714061, 40.714066, 40.714067, 40.712612, 40.711168, 40.709725, 40.709513, 40.709143), c(-73.943788, -73.942105, -73.940423, -73.940076, -73.939958, -73.938864, -73.938705, -73.939037, -73.939432, -73.939313, -73.94103, -73.942734, -73.94285, -73.943202, -73.94344, -73.943788, 40.710901, 40.71106, 40.711218, 40.709102, 40.70839, 40.708495, 40.707015, 40.706265, 40.705256, 40.704815, 40.704637, 
40.704473, 40.705182, 40.707335, 40.708781, 40.710901))"
BK0201,23758,140543,1504,585,2275.8333333333335,579,1517,17643,1330,44,2041,2082,1448,852,1,25,30,2,18,5275,0.98460665719549,"list(c(-73.990663, -73.990746, -73.991298, -73.991365, -73.991407, -73.991306, -73.991031, -73.990935, -73.992612, -73.993267, -73.995069, -73.995138, -73.996698, -73.9975, -73.998033, -73.998763, -73.9993680584917, -74.00025, -74.0004775655637, -74.0006173791143, -74.001277, -74.001744, -74.000495, -73.997793, -73.996233, -73.994361, -73.992364, -73.990686, -73.990096, -73.989662, -73.989261, -73.988932, -73.990972, -73.990447, -73.990663, 40.694561, 40.695034, 40.696579, 40.69701, 40.697777, 40.699195, 
40.699845, 40.700767, 40.702061, 40.702435, 40.703102, 40.70298, 40.700877, 40.699653, 40.698752, 40.69711, 40.6962526642623, 40.695003, 40.6950768164479, 40.6951221683874, 40.693298, 40.692407, 40.691938, 40.691188, 40.690758, 40.690239, 40.68969, 40.689142, 40.689706, 40.690334, 40.690977, 40.692086, 40.692549, 40.693735, 40.694561))"
BK0202,24603,132850,3776,970,2413.875,1195,3772,13288,3369,0,2893,2151,2728,1244,17,111,73,8,104,19444,1.5913596496932,"list(c(-73.993269, -73.990468, -73.988289, -73.986119, -73.983953, -73.981993, -73.979605, -73.978337, -73.978026, -73.979363, -73.980559, -73.98087, -73.983506, -73.985363, -73.985143, -73.984726, -73.98496, -73.983995, -73.983118, -73.982083, -73.980515, -73.980544, -73.980462, -73.980729, -73.979171, -73.979233, -73.98308, -73.984189, -73.98653, -73.987271, -73.989381, -73.992722, -73.993693, -73.994498, -73.995069, -73.993267, -73.992612, -73.990935, -73.991031, -73.991306, -73.991407, -73.991365, 
-73.991298, -73.990746, -73.990663, -73.990447, -73.990972, -73.988932, -73.989261, -73.989662, -73.990096, -73.990686, -73.992364, -73.993005, -73.993269, 40.687825, 40.686728, 40.685869, 40.685024, 40.684182, 40.683418, 40.682489, 40.684395, 40.684864, 40.686682, 40.688351, 40.688866, 40.689921, 40.690667, 40.694885, 40.696129, 40.698445, 40.698414, 40.697542, 40.697499, 40.697437, 40.698246, 40.699703, 40.701268, 40.705301, 40.705769, 40.705519, 40.705582, 40.704979, 40.705181, 40.705137, 40.705544, 
40.704476, 40.704318, 40.703102, 40.702435, 40.702061, 40.700767, 40.699845, 40.699195, 40.697777, 40.69701, 40.696579, 40.695034, 40.694561, 40.693735, 40.692549, 40.692086, 40.690977, 40.690334, 40.689706, 40.689142, 40.68969, 40.688364, 40.687825))"
BK0203,29117,83062,5809,2611,1623.111111111111,1272,4721,8996,11052,134,2619,3393,2994,1078,10,168,38,5,46,6925.666666666667,1.11120552154443,"list(c(-73.980515, -73.980388, -73.980356, -73.980139, -73.979168, -73.977827, -73.975848, -73.973855, -73.97354, -73.973126, -73.974109, -73.975106, -73.977098, -73.978624, -73.98136, -73.983506, -73.98087, -73.980559, -73.979363, -73.978026, -73.977457, -73.976318, -73.97378, -73.97064, -73.968664, -73.969062, -73.96949, -73.969783, -73.970131, -73.969103, -73.969831, -73.96881, -73.969399, -73.969728, -73.971784, -73.973775, -73.975783, -73.976787, -73.977531, -73.980544, -73.980515, 40.697437, 
40.696507, 40.696178, 40.694683, 40.693489, 40.693438, 40.693361, 40.693287, 40.691707, 40.689622, 40.689663, 40.689698, 40.689773, 40.689831, 40.689928, 40.689921, 40.688866, 40.688351, 40.686682, 40.684864, 40.684052, 40.683644, 40.683061, 40.682414, 40.682, 40.684157, 40.686288, 40.687752, 40.689506, 40.689468, 40.693135, 40.693121, 40.696093, 40.697804, 40.697882, 40.697959, 40.698047, 40.698087, 40.698116, 40.698246, 40.697437))"
BK0204,27082,97291.57142857143,3034,1005,1950.5714285714287,908,3033,13050,7974,10,1841,2661,2291,959,7,119,39,2,49,6046.5,0.807395430712353,"list(c(-73.960006, -73.960293, -73.959428, -73.959844, -73.960158, -73.960621, -73.961051, -73.962839, -73.963709, -73.963624, -73.964508, -73.966425, -73.967416, -73.968406, -73.969399, -73.96881, -73.969831, -73.969103, -73.970131, -73.969783, -73.96949, -73.969062, -73.968664, -73.967477, -73.964454, -73.961312, -73.961611, -73.961671, -73.959785, -73.958841, -73.959276, -73.959568, -73.959714, -73.960006, 40.688881, 40.690346, 40.690448, 40.69253, 40.694117, 40.69632, 40.698326, 40.698039, 40.696588, 
40.696341, 40.695926, 40.695999, 40.696028, 40.696047, 40.696093, 40.693121, 40.693135, 40.689468, 40.689506, 40.687752, 40.686288, 40.684157, 40.682, 40.681754, 40.681125, 40.680456, 40.682375, 40.682691, 40.682909, 40.683018, 40.685217, 40.686683, 40.687416, 40.688881))"
BK0261,283,116875,32,25,2972,15,27,178,38,0,30,15,66,51,1,5,4,1,9,NA,0,"list(c(-73.980462, -73.980544, -73.977531, -73.976787, -73.975783, -73.973775, -73.971784, -73.969728, -73.969399, -73.968406, -73.967416, -73.966425, -73.964508, -73.963624, -73.963709, -73.962839, -73.962179, -73.965204, -73.96721, -73.967616, -73.968389, -73.969613, -73.970318, -73.972789, -73.975476, -73.979233, -73.979171, -73.980729, -73.980462, 40.699703, 40.698246, 40.698116, 40.698087, 40.698047, 40.697959, 40.697882, 40.697804, 40.696093, 40.696047, 40.696028, 40.695999, 40.695926, 40.696341, 
40.696588, 40.698039, 40.700221, 40.702623, 40.704256, 40.704961, 40.706829, 40.707634, 40.707332, 40.709378, 40.707492, 40.705769, 40.705301, 40.701268, 40.699703))"
BK0301,82014,58482.76190476191,21389,8679,1529.8095238095239,3378,16760,26772,33366,85,3031,8629,7844,5573,25,582,202,6,121,8730.6,0.709391672456586,"list(c(-73.960621, -73.960158, -73.959844, -73.959428, -73.960293, -73.960006, -73.959714, -73.959568, -73.959276, -73.958841, -73.959785, -73.961671, -73.961611, -73.961312, -73.958292, -73.955642, -73.955309, -73.953005, -73.952053, -73.949679, -73.946911, -73.944141, -73.943973, -73.943262, -73.940328, -73.940477, -73.94062, -73.940769, -73.940914, -73.941058, -73.941204, -73.941348, -73.941494, -73.94164, -73.941785, -73.941932, -73.942076, -73.942222, -73.942369, -73.942516, -73.942662, -73.942951, 
-73.9431, -73.943243, -73.943388, -73.943526, -73.943949, -73.944096, -73.944388, -73.947128, -73.950091, -73.95337, -73.956075, -73.95702, -73.958858, -73.961051, -73.960621, 40.69632, 40.694117, 40.69253, 40.690448, 40.690346, 40.688881, 40.687416, 40.686683, 40.685217, 40.683018, 40.682909, 40.682691, 40.682375, 40.680456, 40.679831, 40.679258, 40.679273, 40.678815, 40.678675, 40.678566, 40.678392, 40.678237, 40.680088, 40.680051, 40.67989, 40.680635, 40.68137, 40.6821, 40.682833, 40.683567, 40.6843, 
40.685031, 40.685764, 40.686497, 40.687228, 40.687963, 40.688697, 40.689428, 40.69016, 40.690892, 40.691624, 40.693091, 40.693823, 40.694558, 40.695289, 40.696031, 40.698222, 40.698973, 40.700425, 40.700123, 40.699791, 40.699405, 40.69909, 40.698974, 40.698677, 40.698326, 40.69632))"
