"","OBJECTID","BoroCode","BoroName","CountyFIPS","NTA2020","NTAName","NTAAbbrev","NTAType","CDTA2020","CDTAName","Shape__Area","Shape__Length","Summarized Area in Square Miles","Count of Polygons","Area in Square Miles","perc_covered_by_transit"
"1",1,3,"Brooklyn","047","BK0101","Greenpoint","Grnpt",0,"BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)",35321930.8634644,28914.31351283,0.35937475,3,1.26701233,0.283639504913105
"2",2,3,"Brooklyn","047","BK0102","Williamsburg","Wllmsbrg",0,"BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)",28862270.8322449,28155.61484463,0.57215797,7,1.03530047,0.55264919371668
"3",3,3,"Brooklyn","047","BK0103","South Williamsburg","SWllmsbrg",0,"BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)",15209340.9221039,18252.3463833,0.47851556,6,0.54556422,0.8771021677338
"4",4,3,"Brooklyn","047","BK0104","East Williamsburg","EWllmsbrg",0,"BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)",52266315.6941833,43171.26249661,1.18129177,10,1.87481206,0.630085433736756
"5",5,3,"Brooklyn","047","BK0201","Brooklyn Heights","BkHts",0,"BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)",9985456.60566711,14337.88889036,0.35266785,7,0.35818146,0.98460665719549
"6",6,3,"Brooklyn","047","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill","DwntwnBk",0,"BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)",23730285.1352387,30596.76188497,1.35458556,13,0.85121271,1.5913596496932
"7",7,3,"Brooklyn","047","BK0203","Fort Greene","FtGrn",0,"BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)",17534169.9022522,23284.80023999,0.69889928,11,0.62895591,1.11120552154443
"8",8,3,"Brooklyn","047","BK0204","Clinton Hill","ClntnHl",0,"BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)",14566611.0991058,18102.95461413,0.42187104,5,0.52250858,0.807395430712353
"9",9,3,"Brooklyn","047","BK0261","Brooklyn Navy Yard","BkNvyYrd",6,"BK02","BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)",10097300.609787,39408.44760502,0,0,0.36219353,0
"10",10,3,"Brooklyn","047","BK0301","Bedford-Stuyvesant (West)","BdSty_W",0,"BK03","BK03 Bedford-Stuyvesant (CD 3 Approximation)",36906659.2895355,26307.64555126,0.93913001,9,1.3238526,0.709391672456586
"11",11,3,"Brooklyn","047","BK0302","Bedford-Stuyvesant (East)","BdSty_E",0,"BK03","BK03 Bedford-Stuyvesant (CD 3 Approximation)",41289522.2819824,29753.96728381,0.79388175,10,1.48106682,0.536020211431109
"12",12,3,"Brooklyn","047","BK0401","Bushwick (West)","Bshwck_W",0,"BK04","BK04 Bushwick (CD 4 Equivalent)",23132726.9922485,23676.80180563,0.86252857,10,0.82977859,1.03946833576412
"13",13,3,"Brooklyn","047","BK0402","Bushwick (East)","Bshwck_E",0,"BK04","BK04 Bushwick (CD 4 Equivalent)",27935164.7457428,27131.94503233,0.82192211,12,1.00204271,0.820246584100193
"14",14,3,"Brooklyn","047","BK0471","The Evergreens Cemetery","EvrgrnsCem",7,"BK04","BK04 Bushwick (CD 4 Equivalent)",5585430.58145142,10950.14870442,0.16172688,4,0.20035093,0.807218014910138
"15",15,3,"Brooklyn","047","BK0501","Cypress Hills","CyprssHls",0,"BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)",24378950.441925,31089.62000368,0.90187371,13,0.87447949,1.03132631504028
"16",16,3,"Brooklyn","047","BK0502","East New York (North)","ENY_N",0,"BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)",27907173.3511658,25635.33817792,1.1494565,16,1.00103673,1.14826605812956
"17",17,3,"Brooklyn","047","BK0503","East New York-New Lots","ENY_NwLts",0,"BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)",46453888.6159973,36564.33951604,0.86010154,8,1.66630931,0.516171598417103
"18",18,3,"Brooklyn","047","BK0504","Spring Creek-Starrett City","SpCrk_StrC",0,"BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)",27086352.1025543,32929.45094791,0,0,0.97159131,0
"19",19,3,"Brooklyn","047","BK0505","East New York-City Line","ENY_CtyLn",0,"BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)",31528576.4907837,29722.2348125,0.38541288,5,1.13093706,0.340790742147932
"20",20,3,"Brooklyn","047","BK0571","Highland Park-Cypress Hills Cemeteries (South)","CyHlsCem_S",7,"BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)",8100959.93841553,15889.66982551,0.14375174,3,0.2905838,0.494699773352816
"21",21,3,"Brooklyn","047","BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","CrrllGrdns",0,"BK06","BK06 Park Slope-Carroll Gardens (CD 6 Approximation)",60812407.6793976,67195.86874818,0.81493264,10,2.18135637,0.373589868765918
"22",22,3,"Brooklyn","047","BK0602","Park Slope","PkSlp",0,"BK06","BK06 Park Slope-Carroll Gardens (CD 6 Approximation)",25829188.5230408,23499.85845611,0.99618649,13,0.92649887,1.07521608741951
"23",23,3,"Brooklyn","047","BK0701","Windsor Terrace-South Slope","WndsrTr",0,"BK07","BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)",15312105.6720276,21234.09239315,0.35585258,5,0.54924774,0.647890840661447
