"","Name","2018Ridership","Rank2018","geometry"
"1","138 St-Grand Concourse",3166,363,c(-73.9298489993561, 40.8132239995891)
"2","149 St-Grand Concourse",13081,116,c(-73.9267224743861, 40.8183301440974)
"3","161 St-Yankee Stadium",26034,43,c(-73.9256509977548, 40.8279049988458)
"4","167 St",9398,167,c(-73.9213999978443, 40.8355369993367)
"5","167 St",6342,242,c(-73.9184320008225, 40.833768998628)
"6","170 St",8140,187,c(-73.9133999984698, 40.8393059996416)
"7","170 St",7913,191,c(-73.9177909974593, 40.84007499993)
"8","174 St",6751,228,c(-73.8876935981289, 40.8371955501706)
"9","174-175 Sts",3221,356,c(-73.9101360005008, 40.8458999998341)
"10","176 St",5807,259,c(-73.9117939988447, 40.8484800012369)
"11","182-183 Sts",4752,296,c(-73.9007409999897, 40.8560929988186)
"12","183 St",5754,262,c(-73.9038790015153, 40.8584070004084)
"13","219 St",3335,350,c(-73.8625097078866, 40.8838879746253)
"14","225 St",3961,324,c(-73.8602146177274, 40.8880282586379)
"15","231 St",10287,154,c(-73.9048340010787, 40.8788559981793)
"16","233 St",4864,291,c(-73.8573623952154, 40.8931432413838)
"17","238 St",3225,354,c(-73.9008700001852, 40.8846670006497)
"18","3 Av-138 St",7801,192,c(-73.9261380001413, 40.8104760011726)
"19","3 Av-149 St",22357,58,c(-73.9177915276098, 40.81602925251)
"20","Allerton Av",5144,283,c(-73.8672342285163, 40.8654833779393)
"21","Baychester Av",3551,340,c(-73.8385909980215, 40.8786630003731)
"22","Bedford Park Blvd",6419,237,c(-73.8871379988957, 40.8732439986165)
"23","Bedford Park Blvd-Lehman College",5170,282,c(-73.8900640006948, 40.8734119998012)
"24","Bronx Park East",2498,382,c(-73.868356091781, 40.8487686663389)
"25","Brook Av",6040,252,c(-73.9192399990943, 40.807565999877)
"26","Buhre Av",3744,332,c(-73.8325690000374, 40.8468099988855)
"27","Burke Av",3234,352,c(-73.867053617476, 40.8712588025477)
"28","Burnside Av",10231,156,c(-73.9076840015997, 40.8534530015569)
"29","Castle Hill Av",6483,234,c(-73.8512219996147, 40.8342549982546)
"30","Cypress Av",3651,336,c(-73.9140419999475, 40.8053680007636)
